"Sex";"fakecode";"fakelat";"fakelong";"PatronType";"PatronID";"EMAI/Venue";"EMAI/Third Patry";"PHON/Venue";"PHON/Third Patry";"POST/Venue";"POST/Third Patry";"SMS/Venue";"SMS/Third Patry";"SOCI/Venue";"SOCI/Third Patry"
"M";"CA6 4JW";"54.9433804";"-2.908663";"Adult";"105386";"Y";"Y";"Y";"N";"Y";"N";"N";"N";"N";"N"
"F";NULL;NULL;NULL;"Adult";"100087";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N"
"M";"LA1 3EY";"54.0504484";"-2.786843";"Adult";"102542";"Y";"N";"N";"N";"Y";"N";"N";"N";"N";"N"
"M";"WA16 7AB";"53.3144612";"-2.311301";"Adult";"102225";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N"
NULL;"LA2 7LT";"54.1065596";"-2.5083731";"Adult";"897";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N"
"M";NULL;NULL;NULL;"Adult";"102554";"Y";"N";"Y";"N";"N";"N";"Y";"N";"Y";"N"
NULL;"LA1 4EP";"54.0322724";"-2.7906442";"Adult";"916";"Y";"?";"Y";"?";"Y";"?";"?";"?";"?";"?"
"M";NULL;NULL;NULL;"Adult";"101982";"Y";"N";"Y";"N";"N";"N";"Y";"N";"Y";"N"
"F";"LA1 3EY";"54.0504484";"-2.786843";"Adult";"103730";"Y";"N";"N";"N";"Y";"N";"Y";"N";"Y";"N"
"M";"M29 7TX";"53.5030526";"-2.4555789";"Adult";"103015";"Y";"N";"N";"N";"N";"N";"Y";"N";"N";"N"
"F";"LA4 6RN";"54.0741967";"-2.8349795";"Adult";"102307";"Y";"Y";"Y";"N";"Y";"Y";"N";"N";"N";"N"
"C";NULL;NULL;NULL;"Adult";"101252";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N"
"F";"LA2 7LT";"54.1065596";"-2.5083731";"Adult";"965";"Y";"N";"N";"N";"Y";"N";"N";"N";"N";"N"
"F";"LA1 4EP";"54.0322724";"-2.7906442";"Adult";"101101";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N"
NULL;"LA1 4EP";"54.0322724";"-2.7906442";"Adult";"100628";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N"
"M";"PR1 8ND";"53.7575062";"-2.7118333";"Adult";"1026";"Y";"N";"N";"N";"Y";"N";"N";"N";"N";"N"
"F";"LA6 2BB";"54.205825";"-2.5969083";"Adult";"101112";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N"
"F";"LA4 6RN";"54.0741967";"-2.8349795";"Adult";"100362";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N"
"F";"LA1 3EY";"54.0504484";"-2.786843";"Adult";"7269";"N";"N";"N";"N";"Y";"N";"N";"N";"N";"N"
NULL;"LA1 4EP";"54.0322724";"-2.7906442";"Adult";"1129";"Y";"Y";"N";"N";"Y";"N";"Y";"N";"N";"N"
NULL;"LA4 6RN";"54.0741967";"-2.8349795";"Adult";"1130";"N";"N";"N";"N";"Y";"N";"N";"N";"N";"N"
"F";"LA1 1PS";"54.049537";"-2.7996342";"Adult";"101994";"Y";"Y";"N";"N";"N";"N";"N";"N";"N";"N"
"M";"LA1 5PA";"54.0477115";"-2.8129192";"Adult";"100396";"Y";"N";"Y";"N";"Y";"Y";"N";"N";"N";"N"
"M";"LA4 6RN";"54.0741967";"-2.8349795";"Adult";"101148";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N"
"F";"LA1 4EP";"54.0322724";"-2.7906442";"Adult";"103710";"Y";"N";"Y";"N";"N";"N";"Y";"N";"Y";"N"
"M";NULL;NULL;NULL;"Adult";"100576";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N"
NULL;"LA1 4EP";"54.0322724";"-2.7906442";"Adult";"101780";"Y";"N";"N";"N";"N";"N";"Y";"N";"N";"N"
"M";NULL;NULL;NULL;"Adult";"105261";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N"
"F";"LA1 4EP";"54.0322724";"-2.7906442";"Adult";"101998";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N"
NULL;"LA2 9ES";"54.0461848";"-2.7098815";"Adult";"1265";"N";"N";"N";"N";"Y";"N";"N";"N";"N";"N"
"F";"LA1 4EP";"54.0322724";"-2.7906442";"Adult";"101999";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N"
"F";"LA1 4EP";"54.0322724";"-2.7906442";"Adult";"105398";"Y";"N";"Y";"N";"Y";"N";"Y";"Y";"Y";"N"
NULL;"M15 6EP";"53.4669512";"-2.2403902";"Adult";"1296";"Y";"?";"Y";"?";"Y";"?";"?";"?";"?";"?"
"M";"FY4 2HH";"53.7873604";"-3.0399848";"Adult";"100575";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N"
"M";NULL;NULL;NULL;"Adult";"102183";"Y";"N";"Y";"N";"N";"N";"Y";"N";"Y";"N"
NULL;"LA1 3EY";"54.0504484";"-2.786843";"Adult";"102010";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N"
NULL;"LA7 7TZ";"54.2266742";"-2.7724253";"Adult";"102315";"N";"N";"N";"N";"Y";"N";"N";"N";"N";"N"
"F";"FY5 5AG";"53.8699588";"-2.9978059";"Adult";"1405";"N";"N";"N";"N";"Y";"N";"N";"N";"N";"N"
NULL;"LA1 4EP";"54.0322724";"-2.7906442";"Adult";"102316";"Y";"N";"Y";"N";"N";"N";"N";"N";"N";"N"
NULL;"LA1 3EY";"54.0504484";"-2.786843";"Adult";"103711";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N"
"F";"LA9 7NN";"54.3148511";"-2.7328553";"Adult";"100523";"Y";"Y";"Y";"N";"Y";"Y";"N";"N";"N";"N"
"M";"LA1 1PS";"54.049537";"-2.7996342";"Adult";"101483";"Y";"N";"Y";"N";"N";"N";"Y";"N";"Y";"N"
"F";"CW2 8PT";"53.0897481";"-2.4691296";"Adult";"101736";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N"
"F";NULL;NULL;NULL;"Adult";"101276";"Y";"Y";"N";"N";"Y";"Y";"N";"N";"N";"N"
NULL;"LA12 0SQ";"54.1710996";"-3.1208774";"Adult";"100164";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N"
"M";"LA5 0SN";"54.1867024";"-2.8271845";"Adult";"102319";"N";"?";"N";"?";"N";"?";"?";"?";"?";"?"
NULL;"L25 5NZ";"53.37967";"-2.85971";"Adult";"101248";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N"
"F";"LA1 3EY";"54.0504484";"-2.786843";"Adult";"102027";"N";"N";"N";"N";"Y";"Y";"N";"N";"N";"N"
"M";"LA6 1JG";"54.1631271";"-2.7247161";"Adult";"100500";"N";"N";"N";"N";"Y";"N";"N";"N";"N";"N"
"F";"BL8 1DR";"53.6039659";"-2.3147611";"Adult";"1606";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N"
"F";"LA1 3EY";"54.0504484";"-2.786843";"Adult";"101215";"Y";"N";"N";"N";"Y";"N";"Y";"N";"N";"N"
"F";"LA1 4EP";"54.0322724";"-2.7906442";"Adult";"102030";"N";"N";"N";"N";"Y";"N";"N";"N";"N";"N"
NULL;"LA9 7NN";"54.3148511";"-2.7328553";"Adult";"1622";"Y";"?";"N";"?";"Y";"?";"?";"?";"?";"?"
"F";NULL;NULL;NULL;"Adult";"102553";"Y";"N";"Y";"N";"N";"N";"Y";"N";"Y";"N"
"M";"PR1 2HD";"53.7609091";"-2.7027934";"Adult";"1658";"Y";"N";"Y";"N";"Y";"N";"N";"N";"N";"N"
"F";"LA1 1PS";"54.049537";"-2.7996342";"Adult";"101731";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N"
"M";"PR3 1HZ";"53.9068429";"-2.7624231";"Adult";"102235";"Y";"Y";"N";"N";"Y";"Y";"N";"N";"N";"N"
NULL;NULL;NULL;NULL;"Adult";"101713";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N"
"F";"LA1 5PA";"54.0477115";"-2.8129192";"Adult";"103751";"Y";"N";"N";"N";"Y";"N";"N";"N";"N";"N"
"F";NULL;NULL;NULL;"Adult";"103042";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N"
"F";"LA1 2NE";"54.0618975";"-2.8037951";"Adult";"1872";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N"
"M";"LA2 6BQ";"54.0839557";"-2.7861084";"Adult";"102047";"Y";"N";"Y";"N";"Y";"N";"N";"N";"N";"N"
NULL;"LA1 3EY";"54.0504484";"-2.786843";"Adult";"1911";"Y";"N";"N";"N";"Y";"N";"N";"N";"N";"N"
"F";NULL;NULL;NULL;"Adult";"1914";"Y";"N";"Y";"N";"Y";"N";"N";"N";"N";"N"
"M";"LA7 7TZ";"54.2266742";"-2.7724253";"Adult";"100428";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N"
"F";"LA5 9HG";"54.1378168";"-2.7678132";"Adult";"101722";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N"
NULL;"LS14 3HD";"53.861288";"-1.43752";"Adult";"102240";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N"
"F";"LA5 0SN";"54.1867024";"-2.8271845";"Adult";"100432";"N";"N";"N";"N";"Y";"N";"N";"N";"N";"N"
"F";"LA1 4EP";"54.0322724";"-2.7906442";"Adult";"101720";"Y";"Y";"Y";"N";"Y";"N";"Y";"N";"Y";"N"
"M";"LA1 4EP";"54.0322724";"-2.7906442";"Adult";"101741";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N"
"M";NULL;NULL;NULL;"Adult";"102220";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N"
"F";NULL;NULL;NULL;"Adult";"102053";"Y";"N";"Y";"N";"N";"N";"Y";"N";"Y";"N"
"F";NULL;NULL;NULL;"Adult";"103060";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N"
"M";"CA11 9NW";"54.6977093";"-2.7835463";"Adult";"101744";"Y";"N";"N";"N";"Y";"N";"N";"N";"N";"N"
NULL;NULL;NULL;NULL;"Adult";"102243";"Y";"N";"Y";"N";"N";"N";"Y";"N";"Y";"N"
"F";"LA5 8JA";"54.1054419";"-2.7918837";"Adult";"102244";"Y";"?";"Y";"?";"Y";"?";"?";"?";"?";"?"
"M";"LA1 4EP";"54.0322724";"-2.7906442";"Adult";"102321";"Y";"N";"Y";"N";"N";"N";"Y";"N";"Y";"N"
"F";"LA2 0NU";"53.9922216";"-2.7988144";"Adult";"102058";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N"
NULL;"LA9 7NN";"54.3148511";"-2.7328553";"Adult";"2157";"N";"N";"N";"N";"Y";"N";"N";"N";"N";"N"
"F";"LA2 0NU";"53.9922216";"-2.7988144";"Adult";"102101";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N"
"F";"LA1 4EP";"54.0322724";"-2.7906442";"Adult";"100607";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N"
"M";NULL;NULL;NULL;NULL;"100049";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N"
NULL;"LA1 1PS";"54.049537";"-2.7996342";"Adult";"103712";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N"
"F";"LA12 7PU";"54.2065";"-3.0903819";"Adult";"100436";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N"
"F";"LA2 9ES";"54.0461848";"-2.7098815";"Adult";"2219";"N";"N";"N";"N";"Y";"N";"N";"N";"N";"N"
"F";"LA1 3EY";"54.0504484";"-2.786843";"Adult";"102102";"N";"?";"N";"?";"N";"?";"?";"?";"?";"?"
"F";"PR3 1HZ";"53.9068429";"-2.7624231";"Adult";"100469";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N"
"M";"LA2 6BQ";"54.0839557";"-2.7861084";"Adult";"2275";"Y";"N";"Y";"N";"Y";"N";"N";"N";"N";"N"
"F";"LA1 3EY";"54.0504484";"-2.786843";"Adult";"101176";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N"
"F";"LA1 3EY";"54.0504484";"-2.786843";"Adult";"101131";"N";"N";"N";"N";"Y";"N";"N";"N";"N";"N"
"F";"LA1 4EP";"54.0322724";"-2.7906442";"Adult";"2335";"N";"N";"N";"N";"Y";"N";"N";"N";"N";"N"
NULL;NULL;NULL;NULL;"Adult";"2326";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N"
"F";"LA4 5PU";"54.0725914";"-2.8542724";"Adult";"100527";"Y";"Y";"Y";"N";"Y";"Y";"N";"N";"N";"N"
"F";"LA1 5PA";"54.0477115";"-2.8129192";"Adult";"2340";"Y";"N";"N";"N";"Y";"N";"N";"N";"N";"N"
"F";"YO60 7JU";"54.0804535";"-0.9080698";"Adult";"101098";"Y";"Y";"Y";"Y";"Y";"Y";"N";"N";"N";"N"
"F";NULL;NULL;NULL;"Adult";"102088";"Y";"N";"Y";"N";"N";"N";"Y";"N";"Y";"N"
NULL;"LA9 4JU";"54.3252657";"-2.7521208";"Adult";"2356";"Y";"?";"Y";"?";"Y";"?";"?";"?";"?";"?"
"F";"LA1 3EY";"54.0504484";"-2.786843";"Adult";"102251";"Y";"Y";"N";"N";"N";"Y";"N";"N";"Y";"Y"
"M";"LA1 5PA";"54.0477115";"-2.8129192";"Adult";"2358";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N"
"M";"FY3 7NP";"53.8322567";"-3.0198582";"Adult";"100249";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N"
"F";"LA1 3EY";"54.0504484";"-2.786843";"Adult";"2372";"Y";"N";"N";"N";"N";"N";"N";"N";"Y";"N"
"F";"LA2 0NU";"53.9922216";"-2.7988144";"Adult";"101723";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N"
"F";NULL;NULL;NULL;"Adult";"102252";"Y";"N";"Y";"N";"N";"N";"Y";"N";"Y";"N"
"F";"LA4 6RN";"54.0741967";"-2.8349795";"Adult";"102111";"Y";"N";"N";"N";"Y";"N";"N";"N";"N";"N"
"F";"LA1 4EP";"54.0322724";"-2.7906442";"Adult";"103019";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N"
"F";NULL;NULL;NULL;"Adult";"102087";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N"
"F";"M32 9LJ";"53.4507981";"-2.3228732";"Adult";"102609";"Y";"N";"Y";"N";"N";"N";"Y";"N";"Y";"N"
NULL;"LA1 3EY";"54.0504484";"-2.786843";"Adult";"2457";"Y";"?";"Y";"?";"Y";"?";"?";"?";"?";"?"
NULL;"PR1 8ND";"53.7575062";"-2.7118333";"Adult";"102254";"Y";"?";"N";"?";"N";"?";"?";"?";"?";"?"
"M";"BB1 4DR";"53.7691769";"-2.4191837";"Adult";"100260";"N";"N";"N";"N";"Y";"Y";"N";"N";"N";"N"
"F";NULL;NULL;NULL;"Adult";"2467";"N";"?";"N";"?";"N";"?";"?";"?";"?";"?"
"F";NULL;NULL;NULL;"Adult";"102114";"Y";"N";"Y";"N";"N";"N";"Y";"N";"Y";"N"
"F";NULL;NULL;NULL;"Adult";"102603";"Y";"N";"Y";"N";"N";"N";"Y";"N";"Y";"N"
"F";"LA1 5PA";"54.0477115";"-2.8129192";"Adult";"100558";"N";"N";"N";"N";"Y";"N";"N";"N";"N";"N"
"M";"LA1 4EP";"54.0322724";"-2.7906442";"Adult";"102118";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N"
NULL;"LA2 0NU";"53.9922216";"-2.7988144";"Adult";"101133";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N"
"F";"LA1 4EP";"54.0322724";"-2.7906442";"Adult";"101743";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N"
NULL;"LA2 0NU";"53.9922216";"-2.7988144";"Adult";"101246";"Y";"Y";"N";"N";"N";"N";"N";"N";"N";"N"
"F";"LA1 3EY";"54.0504484";"-2.786843";"Adult";"100433";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N"
"M";NULL;NULL;NULL;"Adult";"102216";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N"
"F";"LA2 7LT";"54.1065596";"-2.5083731";"Adult";"100444";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N"
"F";"LA2 0NU";"53.9922216";"-2.7988144";"Adult";"105403";"N";"N";"N";"N";"Y";"N";"N";"N";"N";"N"
NULL;"SN8 2LA";"51.4555415";"-1.6410961";"Adult";"103716";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N"
"C";"LA1 1PS";"54.049537";"-2.7996342";"Adult";"2714";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N"
"F";NULL;NULL;NULL;"Adult";"102082";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N"
"F";"SK8 4NS";"53.3913416";"-2.2324851";"Adult";"101890";"Y";"N";"N";"N";"Y";"N";"N";"N";"N";"N"
"M";"LA1 4EP";"54.0322724";"-2.7906442";"Adult";"2750";"Y";"?";"N";"?";"N";"?";"?";"?";"?";"?"
"M";NULL;NULL;NULL;"Adult";"2802";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N"
"F";"LA4 4PE";"54.0670876";"-2.8655259";"Adult";"101071";"Y";"N";"Y";"N";"Y";"N";"N";"N";"N";"N"
"F";"LA1 5PA";"54.0477115";"-2.8129192";"Adult";"102543";"Y";"N";"N";"N";"Y";"N";"N";"N";"N";"N"
"F";"LA2 9ES";"54.0461848";"-2.7098815";"Adult";"100258";"N";"N";"Y";"N";"N";"N";"N";"N";"N";"N"
"F";"LA1 5PA";"54.0477115";"-2.8129192";"Adult";"100627";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N"
"F";"LA1 5PA";"54.0477115";"-2.8129192";"Adult";"2856";"N";"N";"N";"N";"Y";"N";"N";"N";"N";"N"
"F";"PR1 4YA";"53.760791";"-2.6773616";"Adult";"2868";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N"
NULL;"LA8 8AX";"54.2983918";"-2.8113626";"Adult";"101735";"Y";"N";"N";"N";"Y";"N";"N";"N";"N";"N"
"F";NULL;NULL;NULL;"Adult";"102322";"Y";"N";"Y";"N";"N";"N";"Y";"N";"Y";"N"
NULL;"LA1 4EP";"54.0322724";"-2.7906442";"Adult";"101711";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N"
NULL;"LA2 9ES";"54.0461848";"-2.7098815";"Adult";"2908";"Y";"?";"Y";"?";"Y";"?";"?";"?";"?";"?"
"M";"LA1 1PS";"54.049537";"-2.7996342";"Adult";"103750";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N"
NULL;"LA6 1JG";"54.1631271";"-2.7247161";"Adult";"2926";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N"
"M";NULL;NULL;NULL;"Adult";"102128";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N"
"F";"M45 7WZ";"53.5472349";"-2.2997189";"Adult";"102639";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N"
"M";"M20 2QJ";"53.4217083";"-2.2402882";"Adult";"101275";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N"
"F";"LA1 1PS";"54.049537";"-2.7996342";"Adult";"101765";"Y";"N";"N";"N";"Y";"N";"N";"N";"N";"N"
"M";"FY7 8EX";"53.9107992";"-3.038209";"Adult";"100493";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N"
NULL;"LA1 5PA";"54.0477115";"-2.8129192";"Adult";"2987";"Y";"?";"Y";"?";"Y";"?";"?";"?";"?";"?"
NULL;"LA1 4EP";"54.0322724";"-2.7906442";"Adult";"102525";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N"
NULL;"LA3 1UN";"54.0619372";"-2.8825314";"Adult";"3008";"Y";"?";"Y";"?";"Y";"?";"?";"?";"?";"?"
"F";"FY1 4JQ";"53.8158187";"-3.0451438";"Adult";"100594";"N";"N";"N";"N";"Y";"Y";"N";"N";"N";"N"
NULL;"LA4 6RN";"54.0741967";"-2.8349795";"Adult";"3022";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N"
NULL;"LA1 4EP";"54.0322724";"-2.7906442";"Adult";"102133";"Y";"N";"Y";"N";"N";"N";"Y";"N";"Y";"N"
"M";"LA1 4EP";"54.0322724";"-2.7906442";"Adult";"103057";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N"
"F";"M32 9LJ";"53.4507981";"-2.3228732";"Adult";"101086";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N"
"F";NULL;NULL;NULL;"Adult";"103031";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N"
"F";NULL;NULL;NULL;"Adult";"102076";"Y";"N";"Y";"N";"N";"N";"Y";"N";"Y";"N"
"M";"LA8 9AD";"54.3771761";"-2.7639034";"Adult";"102135";"N";"?";"N";"?";"Y";"?";"?";"?";"?";"?"
NULL;"LA1 1PS";"54.049537";"-2.7996342";"Adult";"103064";"N";"N";"N";"N";"Y";"Y";"N";"N";"N";"N"
"M";"LA11 7RA";"54.1848925";"-2.9421963";"Adult";"102097";"Y";"N";"N";"N";"Y";"N";"N";"N";"N";"N"
"M";"LA3 1UN";"54.0619372";"-2.8825314";"Adult";"100095";"Y";"?";"Y";"?";"Y";"?";"Y";"?";"Y";"?"
"F";"LA1 3EY";"54.0504484";"-2.786843";"Adult";"3207";"Y";"N";"Y";"N";"N";"N";"N";"N";"N";"N"
